,ISBN,result
64,5754507208,"(['  Hardcover  \n    \n                             from $41.95                \n\n\n   \n     1 New from $41.95      '], '5754507208')"
65,0757905889,"(['  Paperback  \n    \n                             from $55.77                \n\n\n   \n     2 Used from $55.77      '], '0757905889')"
66,840807248X,"([], '840807248X')"
67,0140432256,"(['  Kindle  \n $0.95  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $17.98  \n\n\n   \n     1 New from $17.98         1 Collectible from $10.00      ', '  Paperback  \n $9.56  \n\n\n   \n     38 Used from $0.01         1 New from $9.99      ', '  Mass Market Paperback  \n $5.34  \n\n\n   \n     27 Used from $1.29      ', '  MP3 CD  \n $29.99  \n\n\n   \n     1 New from $29.99      '], '0140432256')"
68,0374700826,"([], '0374700826')"
69,0786287756,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $21.28  \n\n\n   \n     5 Used from $18.06      ', '  Paperback  \n $15.14  \n\n\n   \n     4 Used from $7.28         5 New from $11.14      ', '  Mass Market Paperback  \n $4.48  \n\n\n   \n     78 Used from $1.15         28 New from $4.48      ', '  Audio CD  \n $24.39  \n\n\n   \n     2 New from $19.99      '], '0786287756')"
70,0399247092,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $6.61  \n\n\n   \n     19 Used from $4.43      ', '  Paperback  \n $9.30  \n\n\n   \n     77 Used from $1.72         28 New from $3.65      ', '  Preloaded Digital Audio Player  \n $64.99  \n\n\n   \n     1 New from $64.99      '], '0399247092')"
71,0060282037,"(['  Library Binding  \n $88.87  \n\n\n   \n     5 Used from $84.73      ', '  Paperback  \n $11.55  \n\n\n   \n     9 Used from $11.52         1 New from $31.74         2 Collectible from $24.95      '], '0060282037')"
72,1417618523,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Library Binding  \n    \n                             from $22.10                \n\n\n   \n     1 New from $22.10      ', '  Paperback  \n $10.83  \n\n\n   \n     201 Used from $0.65         18 New from $4.98         1 Collectible from $7.99      ', '  Audio CD  \n $43.66  \n\n\n   \n     2 New from $22.49      '], '1417618523')"
73,1854771175,"(['  Kindle  \n $0.19  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $12.98  \n\n\n   \n     2 Used from $18.50         6 New from $12.98      ', '  Paperback  \n $3.60  \n\n\n   \n     10 Used from $1.49         1 New from $3.60      ', '  Mass Market Paperback  \n $5.95  \n\n\n   \n     147 Used from $0.79         24 New from $4.00         2 Collectible from $8.00      ', '  MP3 CD  \n $9.99  \n\n\n   \n     1 New from $9.99      ', '  Multimedia CD  \n $52.95 - $56.95  \n\n\n   \n     2 Used from $52.95         2 New from $55.76      '], '1854771175')"
74,1434489035,"(['  Hardcover  \n    \n                             from $30.99                \n\n\n   \n     1 Used from $30.99      '], '1434489035')"
75,226613812X,"(['  Paperback  \n $7.52  \n\n\n   \n     4 Used from $7.52      '], '226613812X')"
76,1423319710,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $8.96  \n\n\n   \n     57 Used from $1.78         10 New from $12.99      ', '  Paperback  \n $17.07  \n\n\n   \n     6 Used from $12.99         4 New from $17.07      ', '  Mass Market Paperback  \n $8.99  \n\n\n   \n     120 Used from $1.16         35 New from $6.77      ', '  Audio CD  \n $10.25  \n\n\n   \n     3 Used from $8.15      '], '1423319710')"
77,078511971X,"(['  Kindle & Comixology  \n $10.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $34.98  \n\n\n   \n     11 Used from $29.30         3 New from $37.00         1 Collectible from $49.95      '], '078511971X')"
