,ISBN,result
68,1421813327,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $34.80  \n\n\n   \n     1 Used from $29.01         4 New from $32.78      ', '  Paperback  \n $4.99  \n\n\n   \n     1 New from $4.99      '], '1421813327')"
69,0517560410,"(['  Audio, Cassette  \n    \n                        \n    —\n             \n\n\n   \n  '], '0517560410')"
70,0380977397,"([], '0380977397')"
71,160096608X,"(['  Paperback  \n $13.95  \n\n\n   \n     1 New from $13.95      '], '160096608X')"
72,0312873875,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n    \n                             from $1.99                \n\n\n   \n     58 Used from $1.99         6 New from $9.99         13 Collectible from $4.88      ', '  Paperback  \n $29.99  \n\n\n   \n     4 Used from $4.95         11 New from $22.04      ', '  Mass Market Paperback  \n $6.95  \n\n\n   \n     50 Used from $1.50         1 New from $7.35         1 Collectible from $8.00      '], '0312873875')"
73,0881428671,"(['  Paperback  \n    \n                             from $46.25                \n\n\n   \n     4 Used from $46.25         2 New from $171.78      ', '  Audio, Cassette  \n $8.44  \n\n\n   \n     6 Used from $8.44         1 Collectible from $17.99      '], '0881428671')"
74,034531624X,"(['  Hardcover  \n $16.99  \n\n\n   \n     2 Used from $16.99         1 Collectible from $450.00      ', '  Paperback  \n $6.49  \n\n\n   \n     23 Used from $2.50         1 Collectible from $27.00      ', '  Mass Market Paperback  \n $3.98  \n\n\n   \n     3 Used from $3.98      '], '034531624X')"
75,1594130396,"(['  Kindle  \n $1.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $12.00  \n\n\n   \n     89 Used from $1.43         18 New from $4.98         4 Collectible from $9.95      ', '  Paperback  \n $7.24  \n\n\n   \n     8 Used from $3.71      ', '  Mass Market Paperback  \n $38.17  \n\n\n   \n     37 Used from $1.47         5 New from $29.00      ', '  Audio CD  \n $42.01  \n\n\n   \n     1 New from $42.01      '], '1594130396')"
76,1417658916,"([""  Kindle & Comixology  \n $6.99  \n   \n Read on any device      Kindle & Comixology      Buy now and you can also read this title for free on the Comixology app, Amazon's premier digital comic reading experience.   Learn More     "", '  Paperback  \n $7.95  \n\n\n   \n     23 Used from $1.95         9 New from $3.96      '], '1417658916')"
77,0471842699,"([], '0471842699')"
78,0786246839,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $32.00  \n\n\n   \n     8 Used from $1.99         4 New from $31.96      ', '  Paperback  \n $14.99  \n\n\n   \n     33 Used from $1.35         16 New from $14.99      ', '  Mass Market Paperback  \n $7.59  \n\n\n   \n     42 Used from $1.62         1 New from $10.00         1 Collectible from $14.95      ', '  MP3 CD  \n    \n                             from $658.12                \n\n\n   \n     1 Used from $658.12      '], '0786246839')"
79,0968751903,"(['  Kindle  \n $14.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $12.60  \n\n\n   \n     11 Used from $7.46      '], '0968751903')"
80,0754092550,"(['  Kindle  \n $8.20  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $28.04  \n\n\n   \n     551 Used from $0.25         38 New from $10.00         60 Collectible from $4.99      ', '  Paperback  \n    \n                             from $2.50                \n\n\n   \n     1 Used from $2.50      ', '  Mass Market Paperback  \n $8.31  \n\n\n   \n     110 Used from $1.18         4 New from $8.31         5 Collectible from $8.00      ', '  Audio CD  \n $5.07  \n\n\n   \n     7 Used from $5.07         7 New from $12.95      ', '  Multimedia CD  \n $6.50  \n\n\n   \n     3 Used from $6.50      '], '0754092550')"
81,0593054067,"(['  Hardcover  \n $32.59  \n\n\n   \n     7 Used from $32.57      ', '  Paperback  \n $10.49  \n\n\n   \n     7 Used from $6.51      ', '  Mass Market Paperback  \n $7.36  \n\n\n   \n     7 Used from $6.09         6 New from $17.60      '], '0593054067')"
